split,seed,n_train,n_val,n_test,train_pos,train_neg,train_minpct,val_pos,val_neg,val_minpct,test_pos,test_neg,test_minpct,n_blocks_train,n_blocks_val,n_blocks_test,threshold,f1,auc,auc_pr,prec_mining,rec_mining,prec_resto,rec_resto
0,42,9451,1857,1958,4953,4498,52.41,857,1000,46.15,910,1048,46.48,859,184,185,0.54,0.8769819573537452,0.9436760758325643,0.9359429061849173,0.8726877040261154,0.8813186813186813,0.8960538979788258,0.8883587786259542
1,43,9544,1568,2154,5118,4426,53.63,627,941,39.99,975,1179,45.26,859,184,185,0.7100000000000002,0.8932346723044398,0.9504560579369737,0.9447584821333674,0.9214830970556162,0.8666666666666667,0.8949070331447049,0.9389312977099237
2,44,9421,1620,2225,4782,4639,50.76,820,800,50.62,1118,1107,50.25,859,184,185,0.52,0.8804691023906179,0.9382923435674428,0.9405794988685333,0.8880800727934486,0.8729874776386404,0.8738898756660746,0.8888888888888888
3,45,9100,2041,2125,4488,4612,49.32,1050,991,51.45,1182,943,55.62,859,184,185,0.6700000000000002,0.8769435806308308,0.9388611067748285,0.9478046863793441,0.9232927970065482,0.8350253807106599,0.8153409090909091,0.9130434782608695
4,46,9759,1700,1807,5099,4660,52.25,750,950,44.12,871,936,48.2,859,184,185,0.56,0.8762347472399767,0.9413141393623599,0.9403113320284016,0.8870588235294118,0.8656716417910447,0.877742946708464,0.8974358974358975
