split,seed,n_train,n_val,n_test,train_pos,train_neg,train_minpct,val_pos,val_neg,val_minpct,test_pos,test_neg,test_minpct,n_blocks_train,n_blocks_val,n_blocks_test,threshold,f1,auc,auc_pr,prec_mining,rec_mining,prec_resto,rec_resto
0,42,3111,610,590,222,2889,7.14,104,506,17.05,68,522,11.53,520,111,112,0.8,0.7883211678832117,0.9495436105476673,0.849323118393661,0.782608695652174,0.7941176470588235,0.9731285988483686,0.9712643678160919
1,43,2970,555,786,263,2707,8.86,84,471,15.14,47,739,5.98,520,111,112,0.76,0.625,0.9352201076785767,0.7246958523517314,0.5384615384615384,0.7446808510638298,0.9833564493758669,0.959404600811908
2,44,2910,713,688,207,2703,7.11,59,654,8.27,128,560,18.6,520,111,112,0.76,0.8604651162790697,0.9784458705357143,0.9177609242619061,0.8538461538461538,0.8671875,0.9695340501792115,0.9660714285714286
3,45,3068,612,631,341,2727,11.11,21,591,3.43,32,599,5.07,520,111,112,0.78,0.6987951807228916,0.9548727045075125,0.7120772910441098,0.5686274509803921,0.90625,0.9948275862068966,0.9632721202003339
4,46,3078,576,657,233,2845,7.57,100,476,17.36,61,596,9.28,520,111,112,0.6200000000000001,0.7346938775510204,0.9634723291891297,0.8725427944938011,0.627906976744186,0.8852459016393442,0.9877408056042032,0.9463087248322147
