split,seed,n_train,n_val,n_test,train_pos,train_neg,train_minpct,val_pos,val_neg,val_minpct,test_pos,test_neg,test_minpct,n_blocks_train,n_blocks_val,n_blocks_test,threshold,f1,auc,auc_pr,prec_mining,rec_mining,prec_resto,rec_resto
0,42,2839,636,759,195,2644,6.87,17,619,2.67,65,694,8.56,156,33,34,0.79,0.5605095541401274,0.9352471735757037,0.5959111183524792,0.4782608695652174,0.676923076923077,0.9685157421289355,0.930835734870317
1,43,2955,737,542,185,2770,6.26,30,707,4.07,62,480,11.44,156,33,34,0.8,0.4528301886792453,0.8739583333333333,0.49318160970630964,0.3711340206185567,0.5806451612903226,0.9415730337078652,0.8729166666666667
2,44,2756,833,645,197,2559,7.15,43,790,5.16,37,608,5.74,156,33,34,0.78,0.4222222222222222,0.9081614509246088,0.4690842352589495,0.3584905660377358,0.5135135135135135,0.9695945945945946,0.944078947368421
3,45,2896,595,743,158,2738,5.46,15,580,2.52,104,639,14.0,156,33,34,0.79,0.6008583690987125,0.9143643914770676,0.6221275341319412,0.5426356589147286,0.6730769230769231,0.9446254071661238,0.9076682316118936
4,46,2903,686,645,212,2691,7.3,29,657,4.23,36,609,5.58,156,33,34,0.8,0.35294117647058826,0.8876117496807152,0.35013471877763974,0.30612244897959184,0.4166666666666667,0.964765100671141,0.9441707717569786
