split,seed,n_train,n_val,n_test,train_pos,train_neg,train_minpct,val_pos,val_neg,val_minpct,test_pos,test_neg,test_minpct,n_blocks_train,n_blocks_val,n_blocks_test,threshold,f1,auc,auc_pr,prec_mining,rec_mining,prec_resto,rec_resto
0,42,3047,631,634,222,2825,7.29,75,556,11.89,42,592,6.62,568,122,122,0.8,0.463768115942029,0.8225144787644788,0.47920580504577936,0.5925925925925926,0.38095238095238093,0.957166392092257,0.981418918918919
1,43,3092,584,636,266,2826,8.6,42,542,7.19,31,605,4.87,568,122,122,0.77,0.417910447761194,0.8456944814716075,0.5368101641865605,0.3888888888888889,0.45161290322580644,0.9716666666666667,0.9636363636363636
2,44,2891,695,726,229,2662,7.92,54,641,7.77,56,670,7.71,568,122,122,0.8,0.5555555555555556,0.865405117270789,0.5620544908114726,0.5,0.625,0.9679878048780488,0.9477611940298507
3,45,2970,630,712,192,2778,6.46,62,568,9.84,85,627,11.94,568,122,122,0.8,0.6742857142857143,0.8928042030209213,0.706262743189111,0.6555555555555556,0.6941176470588235,0.9581993569131833,0.9505582137161085
4,46,3052,658,602,257,2795,8.42,41,617,6.23,41,561,6.81,568,122,122,0.78,0.4888888888888889,0.9041780792139473,0.5580249149871935,0.4489795918367347,0.5365853658536586,0.9656419529837251,0.9518716577540107
