state,feature,mean_mining,mean_resto,delta,magnitude,separable
Amazonas,contrast_vv_mean,4938278.497441973,3765746.128662327,0.647631839399724,large,True
Amazonas,diss_vv_mean,1715.2663553820203,1510.4591915937237,0.6431250171697305,large,True
Amazonas,diss_vv_p90,1916.6295891067402,1671.627086085853,0.6310598011503905,large,True
Amazonas,contrast_vv_p90,6160664.174010881,4591520.0086366385,0.6306811389860911,large,True
Amazonas,contrast_vv_p10,3862532.279056829,3022591.682793638,0.6008381055903158,large,True
Amazonas,diss_vv_p10,1525.5243719252685,1358.4965260134054,0.5934074174720663,large,True
Amazonas,corr_vh_p90,0.7975278369932001,0.7317650396124289,0.5701144970438365,large,True
Amazonas,diss_vh_p90,2133.8309687629994,1841.5182152358873,0.5600079296312053,large,True
Amazonas,diss_vh_mean,1908.3368607928185,1660.5023827260463,0.5599054681043949,large,True
Amazonas,contrast_vh_mean,6278642.457025512,4668974.36582762,0.5542017764452829,large,True
Amazonas,VV_stdDev,3.1854776575474126,2.5147849634003068,0.5494677569167099,large,True
Amazonas,VH_stdDev,3.521146223067052,2.704778956460811,0.5439496839655877,large,True
Amazonas,corr_vv_p90,0.8022545931565348,0.7435324230354748,0.5331882537511685,large,True
Amazonas,corr_vh_mean,0.7145672691061273,0.6559916268841677,0.5222397198790953,large,True
Amazonas,corr_vv_mean,0.7245009897454648,0.6688739894634155,0.5108664904031415,large,True
Amazonas,dist_river,13.960293679202334,26.942830589906887,-0.471940019913175,medium,False
Amazonas,roughness,4.669009306458556,3.568881575605241,0.2605485255563549,small,False
Amazonas,slope,5.0439701039227245,4.248060156267867,0.2098761032247909,small,False
MatoGrosso,contrast_vv_mean,4932223.0405140845,3440473.853376738,0.8676056082493466,large,True
MatoGrosso,diss_vv_mean,1717.7772357319163,1447.983876180069,0.864665152161151,large,True
MatoGrosso,diss_vv_p90,1919.8224698136582,1601.7362123507178,0.8387984692522119,large,True
MatoGrosso,contrast_vv_p10,3842303.496095563,2759281.790701701,0.8354588679568042,large,True
MatoGrosso,contrast_vv_p90,6157304.33571823,4192985.812861053,0.8346463223564082,large,True
MatoGrosso,diss_vv_p10,1526.855581913605,1301.3379328213252,0.8315101814425989,large,True
MatoGrosso,corr_vh_mean,0.7080222375648808,0.6184072318214906,0.7870249297284129,large,True
MatoGrosso,VV_stdDev,2.9671541003062227,2.267176483848049,0.7628844202480662,large,True
MatoGrosso,diss_vh_mean,1939.5807496978107,1621.8985064951635,0.755023333147584,large,True
MatoGrosso,VH_stdDev,3.420598534874863,2.5296448651528625,0.7542963186630192,large,True
MatoGrosso,corr_vh_p10,0.6256406095097996,0.5352631856123794,0.7451613363070515,large,True
MatoGrosso,contrast_vh_mean,6481800.736375482,4451447.261621303,0.7451341218611052,large,True
MatoGrosso,contrast_vh_p10,4915927.8442852935,3472423.857256851,0.7367611439916335,large,True
MatoGrosso,diss_vh_p10,1704.4266109283376,1444.9473617299327,0.7360833746949713,large,True
MatoGrosso,VV_minus_VH_p90,12.291016910475042,10.260905404558915,0.7252559129863447,large,True
MatoGrosso,corr_vh_p90,0.7828102148890779,0.7020661360388523,0.7243422851581482,large,True
MatoGrosso,diss_vh_p90,2176.0227529507506,1808.0099751971102,0.7237344958653482,large,True
MatoGrosso,VV_minus_VH_mean,8.089822401479006,6.686681271263322,0.7194708993337644,large,True
MatoGrosso,contrast_vh_p90,8144547.623106545,5543498.278344073,0.7065207108413281,large,True
MatoGrosso,corr_vv_mean,0.6964361029148386,0.6309618475251705,0.6881159698256591,large,True
MatoGrosso,corr_vv_p10,0.620856112111574,0.5500141164447149,0.6774349477547434,large,True
MatoGrosso,VV_minus_VH_p10,4.050308375105009,3.167840732401184,0.5867590057137377,large,True
Para,diss_vv_mean,1727.3321367019448,1491.7904615223867,0.7549651822996233,large,True
Para,contrast_vv_mean,4968639.780884798,3669489.826319805,0.751299866876173,large,True
Para,contrast_vv_p10,3916443.8309210637,2929727.66947879,0.7326517102410779,large,True
Para,diss_vv_p10,1541.272747833554,1338.041952357914,0.7294370062415434,large,True
Para,diss_vv_p90,1917.1430407558075,1654.530385586779,0.6999458047808185,large,True
Para,contrast_vv_p90,6102363.653610883,4494633.2740726955,0.6915913753218978,large,True
Para,corr_vh_mean,0.7239423840776077,0.6493319549680109,0.6618111023816797,large,True
