state,n_total,n_positive,n_negative,n_splits,split_strategy,f1_mean,f1_std,auc_mean,auc_std,auc_pr_mean,auc_pr_std,prec_mining_mean,prec_mining_std,rec_mining_mean,rec_mining_std,prec_resto_mean,prec_resto_std,rec_resto_mean,rec_resto_std,threshold_mean,threshold_std
PARÁ,13266,6720,6546,5,70/15/15 (train/val/test),0.8808,0.0064,0.9425,0.0044,0.9419,0.0041,0.8985,0.0202,0.8643,0.0157,0.8716,0.0295,0.9053,0.019,0.6,0.08
MATO GROSSO,4311,394,3917,5,70/15/15 (train/val/test),0.7415,0.0797,0.9563,0.0144,0.8153,0.0822,0.6743,0.1231,0.8395,0.0606,0.9817,0.0093,0.9613,0.0084,0.74,0.06
AMAZONAS,4312,339,3973,5,70/15/15 (train/val/test),0.5201,0.089,0.8661,0.0299,0.5685,0.075,0.5172,0.0962,0.5377,0.1132,0.9641,0.0056,0.959,0.0124,0.79,0.01
RORAIMA,4234,277,3957,5,70/15/15 (train/val/test),0.4779,0.0909,0.9039,0.0213,0.5061,0.0974,0.4113,0.0863,0.5722,0.0988,0.9578,0.0122,0.9199,0.027,0.79,0.01
