state,n_total,n_positive,n_negative,n_splits,split_strategy,f1_mean,f1_std,auc_mean,auc_std,auc_pr_mean,auc_pr_std,prec_mining_mean,prec_mining_std,rec_mining_mean,rec_mining_std,prec_resto_mean,prec_resto_std,rec_resto_mean,rec_resto_std,threshold_mean,threshold_std
PARÁ,13266,6720,6546,5,70/15/15 (train/val/test),0.866,0.0098,0.9371,0.0043,0.9329,0.0077,0.8487,0.0351,0.8861,0.0244,0.8914,0.0263,0.857,0.0293,0.44,0.09
MATO GROSSO,4311,394,3917,5,70/15/15 (train/val/test),0.6917,0.0679,0.9575,0.0104,0.7894,0.0553,0.6224,0.112,0.7977,0.0406,0.9803,0.0112,0.9617,0.0049,0.77,0.03
AMAZONAS,4312,339,3973,5,70/15/15 (train/val/test),0.5053,0.0353,0.854,0.0279,0.5761,0.0179,0.5118,0.0912,0.5161,0.0489,0.9654,0.0038,0.9615,0.0173,0.74,0.09
RORAIMA,4234,277,3957,5,70/15/15 (train/val/test),0.399,0.1503,0.8944,0.0473,0.4425,0.1901,0.2964,0.1345,0.6413,0.1669,0.9776,0.0039,0.8987,0.0189,0.72,0.06
